time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-21T05:35:56.958Z,-38.757,78.0338,2.151,5.1,mb,59,39,1.027,0.77,us,us6000jash,2022-12-21T18:14:38.237Z,"Mid-Indian Ridge",earthquake,6.27,4.309,0.081,50,reviewed,us,us
2022-12-21T04:34:42.594Z,-26.3888,-176.4246,35,5.4,mww,65,69,3.154,0.9,us,us6000jarz,2022-12-22T04:37:53.644Z,"south of the Fiji Islands",earthquake,10.02,1.851,0.069,20,reviewed,us,us
2022-12-21T03:41:55.201Z,-58.3918,-25.5498,55.283,4.9,mb,40,82,7.339,0.45,us,us6000jark,2022-12-21T23:24:17.040Z,"South Sandwich Islands region",earthquake,3.81,7.697,0.091,38,reviewed,us,us
2022-12-21T01:22:02.783Z,44.0718,-128.0898,10,4.6,mb,114,191,2.103,1.09,us,us6000jaqz,2022-12-21T07:42:30.897Z,"off the coast of Oregon",earthquake,8.63,1.944,0.053,107,reviewed,us,us
2022-12-20T23:13:41.539Z,-26.6034,-175.6219,10,5.2,mb,57,85,3.339,1.24,us,us6000japz,2022-12-21T14:41:58.040Z,"",earthquake,7.2,1.749,0.086,44,reviewed,us,us
2022-12-20T18:05:47.456Z,-8.6138,112.495,84.1,4.5,mb,65,41,1.645,0.9,us,us6000jaly,2022-12-22T03:50:12.648Z,"50 km S of Sumberpucung, Indonesia",earthquake,4.61,6.974,0.083,50,reviewed,us,us
2022-12-20T18:02:31.513Z,-31.8077,57.4158,10,4.9,mb,90,65,10.699,0.74,us,us6000jam0,2022-12-20T18:53:07.040Z,"Southwest Indian Ridge",earthquake,10.12,1.82,0.067,79,reviewed,us,us
2022-12-20T16:38:42.057Z,-33.8233,-179.7606,45.348,5.4,mb,38,86,4.049,0.44,us,us6000jall,2022-12-21T17:03:02.040Z,"south of the Kermadec Islands",earthquake,11.13,6.157,0.054,124,reviewed,us,us
2022-12-20T14:14:18.734Z,-10.5854,-75.4313,11.297,4.7,mb,45,95,1.964,0.43,us,us6000jaks,2022-12-20T14:44:58.040Z,"3 km WSW of Oxapampa, Peru",earthquake,4.6,4.5,0.073,59,reviewed,us,us
2022-12-20T12:28:08.435Z,17.7024,-60.9522,10,5.2,mww,73,72,1.324,0.97,us,us6000jaj6,2022-12-20T12:43:31.040Z,"93 km E of Codrington, Antigua and Barbuda",earthquake,7.26,1.885,0.086,13,reviewed,us,us
2022-12-20T12:19:50.876Z,17.7453,-60.8864,15.148,4.8,mb,100,82,1.389,0.33,us,us6000jaj2,2022-12-20T12:55:29.040Z,"101 km E of Codrington, Antigua and Barbuda",earthquake,7.14,5.003,0.045,151,reviewed,us,us
2022-12-20T12:15:16.161Z,-6.1825,146.1849,109.533,4.8,mb,45,48,6.274,0.36,us,us6000jaj1,2022-12-20T15:17:40.084Z,"37 km ENE of Kainantu, Papua New Guinea",earthquake,10.96,5.064,0.082,46,reviewed,us,us
2022-12-20T10:39:02.360Z,40.5228333,-124.1881667,26.55,4.92,mw,35,60,0.06918,0.12,nc,nc73821046,2022-12-23T22:01:46.943Z,"7km WNW of Rio Dell, CA",earthquake,0.3,0.47,,3,reviewed,nc,nc
2022-12-20T10:34:24.770Z,40.525,-124.423,17.91,6.37,mw,38,214,0.0818,0.18,nc,nc73821036,2022-12-26T06:47:07.752Z,"15km WSW of Ferndale, CA",earthquake,0.67,0.4,,4,reviewed,nc,nc
2022-12-20T09:09:01.337Z,-16.7462,-177.4195,10,4.9,mb,59,71,2.517,0.27,us,us6000jah9,2022-12-21T01:20:54.174Z,"279 km SSE of Alo, Wallis and Futuna",earthquake,6.43,1.891,0.085,44,reviewed,us,us
2022-12-20T07:26:43.233Z,28.3121,142.7077,10,4.7,mb,42,136,5.397,0.66,us,us6000jagl,2022-12-21T15:12:44.040Z,"Bonin Islands, Japan region",earthquake,12.72,1.924,0.102,29,reviewed,us,us
2022-12-20T06:38:18.159Z,17.7246,-60.9443,25.724,4.7,mb,43,84,0.804,0.52,us,us6000jage,2022-12-20T07:04:52.040Z,"94 km E of Codrington, Antigua and Barbuda",earthquake,6.59,5.802,0.068,65,reviewed,us,us
2022-12-20T06:33:23.376Z,17.7808,-60.9455,15.401,5.1,mww,92,62,0.809,0.41,us,us6000jagb,2022-12-20T16:34:01.040Z,"95 km E of Codrington, Antigua and Barbuda",earthquake,5.61,3.916,0.071,19,reviewed,us,us
2022-12-20T02:58:06.804Z,-35.6638,-98.9022,10,4.7,mb,30,130,12.315,0.4,us,us6000jafm,2022-12-21T01:42:16.040Z,"southeast of Easter Island",earthquake,7.49,1.932,0.102,29,reviewed,us,us
2022-12-20T02:57:29.071Z,-35.3825,-104.6626,10,5,mb,32,88,9.148,0.38,us,us6000jafr,2022-12-21T14:58:27.040Z,"southeast of Easter Island",earthquake,11.63,1.671,0.08,50,reviewed,us,us
2022-12-20T02:36:28.224Z,-4.5425,149.9089,513.433,4.6,mb,75,28,2.275,0.95,us,us6000jafj,2022-12-21T01:55:58.040Z,"114 km NNW of Kimbe, Papua New Guinea",earthquake,10.98,6.384,0.049,123,reviewed,us,us
