time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-28T03:49:55.468Z,-3.3478,130.7799,10,5,mb,81,59,1.527,0.58,us,us7000j0kg,2022-12-28T04:28:33.040Z,"206 km E of Amahai, Indonesia",earthquake,7.68,1.872,0.072,62,reviewed,us,us
2022-12-28T01:50:00.326Z,-10.3389,-74.5331,10.057,4.9,mb,56,86,2.796,0.73,us,us7000j0k1,2022-12-28T02:15:01.287Z,"74 km NNE of Santa Rosa, Peru",earthquake,8.49,4.322,0.06,86,reviewed,us,us
2022-12-28T01:44:42.120Z,12.8847,-90.2525,10,4.5,mb,37,195,1.094,1.47,us,us7000j0k0,2022-12-28T01:59:38.040Z,"",earthquake,6.35,1.958,0.051,115,reviewed,us,us
2022-12-27T23:43:52.951Z,-32.6544,-72.6397,10,5.1,mb,65,85,0.912,0.8,us,us7000j0jh,2023-01-02T05:28:38.964Z,"103 km WNW of Valparaíso, Chile",earthquake,4.13,1.808,0.112,26,reviewed,us,us
2022-12-27T21:45:49.584Z,-4.4481,129.7101,149.871,4.6,mb,52,90,2.954,0.67,us,us7000j0iw,2023-01-02T05:17:46.040Z,"150 km SE of Amahai, Indonesia",earthquake,9.35,8.228,0.08,46,reviewed,us,us
2022-12-27T20:34:01.559Z,-8.1218,120.2317,199.68,4.9,mb,44,68,2.528,1.27,us,us7000j0i7,2022-12-27T20:51:31.040Z,"56 km NE of Labuan Bajo, Indonesia",earthquake,7.55,7.292,0.099,35,reviewed,us,us
2022-12-27T20:22:03.253Z,28.4859,83.1551,20.65,4.6,mb,131,58,1.996,0.61,us,us7000j0i3,2022-12-28T09:06:54.643Z,"48 km WNW of B?glung, Nepal",earthquake,7.64,4.787,0.054,114,reviewed,us,us
2022-12-27T20:15:14.129Z,78.5782,-19.4663,10,4.6,mb,173,47,6.103,0.84,us,us7000j0i2,2022-12-27T23:06:32.040Z,"eastern Greenland",earthquake,7.53,1.886,0.044,161,reviewed,us,us
2022-12-27T18:51:16.666Z,37.7913,141.9018,50.971,4.6,mb,246,98,3.064,0.82,us,us7000j0ey,2022-12-27T20:29:42.040Z,"86 km ENE of Namie, Japan",earthquake,6.94,6.186,0.038,213,reviewed,us,us
2022-12-27T17:33:45.270Z,43.9099,148.0585,59.636,4.6,mb,178,132,3.948,0.61,us,us7000j0en,2022-12-27T19:25:54.040Z,"108 km E of Shikotan, Russia",earthquake,8.06,6.719,0.045,162,reviewed,us,us
2022-12-27T08:00:44.493Z,-5.7111,130.7217,79.457,4.9,mww,65,99,2.328,0.9,us,us6000jbxr,2022-12-31T22:14:06.040Z,"225 km W of Tual, Indonesia",earthquake,8.49,6.406,0.093,11,reviewed,us,us
2022-12-27T03:46:18.031Z,-25.3916,-174.8912,10,4.9,mww,31,101,4.212,0.69,us,us6000jbwp,2022-12-31T21:19:55.040Z,"south of Tonga",earthquake,9.24,1.85,0.098,10,reviewed,us,us
2022-12-27T03:30:11.679Z,37.9277,101.151,10,4.7,mb,64,42,10.295,0.79,us,us6000jbwl,2022-12-28T01:37:43.040Z,"111 km SW of Jinchang, China",earthquake,6.42,1.852,0.079,48,reviewed,us,us
2022-12-27T02:45:29.615Z,-8.9197,122.3735,124.16,4.5,mb,22,126,0.313,0.61,us,us6000jbwc,2022-12-28T00:24:52.040Z,"37 km SSE of Maumere, Indonesia",earthquake,10.65,2.763,0.15,13,reviewed,us,us
2022-12-27T01:00:46.442Z,-22.018,-174.4843,10,5.5,mww,58,90,1.077,0.7,us,us6000jbvz,2022-12-28T03:15:03.060Z,"89 km SSE of ‘Ohonua, Tonga",earthquake,7.61,1.779,0.098,10,reviewed,us,us
2022-12-27T00:55:34.687Z,-21.3787,-67.2724,177.051,4.7,mb,55,47,1.777,1.07,us,us6000jbvu,2023-01-02T00:58:36.040Z,"",earthquake,7.25,7.183,0.039,197,reviewed,us,us
2022-12-27T00:11:02.164Z,28.1181,33.3556,10,4.7,mb,96,77,3.711,0.75,us,us6000jbvn,2023-01-02T00:50:47.462Z,"29 km WSW of El-Tor, Egypt",earthquake,6.69,1.83,0.056,97,reviewed,us,us
2022-12-26T23:48:11.495Z,-6.0259,103.8541,36.352,4.7,mb,32,181,1.881,0.6,us,us6000jbvk,2023-01-02T00:45:18.040Z,"169 km WSW of Bandar Lampung, Indonesia",earthquake,7.4,9.112,0.117,22,reviewed,us,us
2022-12-26T23:44:27.774Z,37.3293,142.7389,26.541,4.6,mb,36,192,3.693,0.55,us,us6000jbvj,2023-01-02T00:40:03.040Z,"154 km E of Namie, Japan",earthquake,5.29,7.128,0.1,30,reviewed,us,us
2022-12-26T23:36:34.860Z,-57.0366,-24.7322,10,5,mb,41,92,7.199,1.13,us,us6000jbvh,2023-01-02T00:36:22.040Z,"South Sandwich Islands region",earthquake,10.7,1.534,0.082,48,reviewed,us,us
2022-12-26T22:56:19.261Z,23.7531,122.5008,10,4.9,mb,65,124,0.85,0.67,us,us6000jbvb,2022-12-27T09:56:12.308Z,"",earthquake,1.58,1.849,0.071,63,reviewed,us,us
2022-12-26T20:02:24.580Z,-2.0231,128.2345,32.313,4.5,mb,28,114,2.909,0.89,us,us6000jbv4,2022-12-27T16:58:47.040Z,"164 km NNW of Amahai, Indonesia",earthquake,9.41,3.954,0.124,19,reviewed,us,us
2022-12-26T16:27:13.762Z,14.3684,39.8057,9.151,4.6,mb,22,61,4.092,0.41,us,us6000jbtc,2022-12-26T16:48:54.040Z,"38 km ENE of ?d?grat, Ethiopia",earthquake,9.14,4.215,0.146,16,reviewed,us,us
2022-12-26T15:10:52.329Z,-65.351,-179.6032,10,4.7,mb,22,124,13.209,0.41,us,us6000jbt6,2022-12-26T15:46:04.040Z,"Pacific-Antarctic Ridge",earthquake,8.83,1.909,0.134,21,reviewed,us,us
